artist_id,artist_name
70177512,Musicothérapie du sommeil
1184206,Restaurant Music Academy
7935884,Instrumental Jazz Music Ambient
13262479,Musicothérapie Chinoise
14710045,Calm Music
1997851,Studying Music
4087246,The Disco Music Makers
384454,Stingray Music
5163128,Irish Songs Music
4063657,Heart Music
9772686,Sleepy Night Music
11909525,"Instrumental Christian Songs, Christian Piano Music, Praise and Worship & Christian Hymns"
1196775,1940s Music
11084720,Power Music Beatz
651255,Comédies Musicales
410192,Workout Music
6967801,Music Legends
1948041,Reading and Study Music
84420182,Extra Musica Nouvel Horizon
177042537,HARDSTYLE MUSIC
1398844,Exam Study Classical Music Orchestra
1185447,Calm Music for Studying
4668332,Malian Musicians
200098,Jazz
7607494,Amazing Chill Out Jazz Paradise
1227772,Chilled Jazz Masters
1183107,Bossa Nova Latin Jazz Piano Collective
11711835,Jazz Instrumental Relax Center
5498934,Jazz Playlist Masters
5357390,Jazz Blues Consort
11787809,Restaurant jazz sensation
251635,Jazz Instrumentals
58760622,Jazz Instrumental Chill
4350032,Soft Jazz
13395481,Jazz Piano Bar
68611932,Jazz Ambiance
1350966,Jazz Piano Club
51980472,Jacob's Piano
10961478,Piano Peace
390076,Piano
4549003,New York Pianobar
58890692,Piano Calm
128295762,Piano Cat
15289859,Chansons Enfants Piano
2490861,Piano Tribute Players
2082561,Intouchables Piano
10747282,PianoSista
125606,Piano bar
1227377,The Rock Masters
5406156,Rock Playlist Masters
1376704,Viva La Rock
148589,Génération Pop-Rock
9848236,Deep Focus Study
13649961,Hits 2017
1565137,"Cuban Jazz Legends feat. Peruchin nieto, Tata Güines, Changuito"
11085134,Jazz Cigano Quinteto
1645416,Ultimate Tribute Stars
5334334,Cast - Frozen
1189028,PopMusik
435022,Les Tubes Du Mondial 2010
51991422,Mortelle Adèle
5548078,New Tribute Kings
101554,Les Top Machine
1377760,British Pop All-Stars
7960312,Nos Années 90
99625332,Kids Love Disney
1879121,Tonight's Gonna Be a Good Night
93914,Tribute Stars
7178946,La playlist du nouvel an
1474221,Compilation 80's
646935,Disco Fries
1699835,Danser
463437,Workout
1604868,Kuduro Workout Crew
317669,Cardio Workout Crew
1680056,Ameritz Tribute Tracks
1224668,Chants De Noël
368669,Tribute Mega Stars
1193078,Kings of Pop
97967,AVID All Stars
4163980,Ameritz Countdown Tributes
61237992,Les Petites Canailles
1230584,Chanteurs Pour Enfants
1672519,Ameritz Tribute Club
310090,The Film Band
365239,Summer Hit Superstars
303931,Union Of Sound
5529045,Tubes radios
183979777,Speed Sounds
1376700,Age Of Rock
5975472,Party Pride
5805827,Lee Mashup
1452964,Succès D'Italie
1585174,Dub Silence
307109,Génération Noël
11072056,Folk Road Show
55803,Cover Team
1232626,The 80's Allstars
99398,Generation Rap
7960310,Tubes 90
1376691,Paradis Français
11004302,Années 80 Forever
3731601,All Star Tribute Band
4084626,"Bad Boys 2 The Original Motion Picture Soundtrack featuring P.Diddy, Nelly and Murphy Lee"
4336731,"The Hit Co., The Tribute Co."
14083877,90s Flav
94223,Future Pop Stars Of America
112322,Various Artists - AC/DC Tribute
5939672,Les tubes du coeur
99376,Generation Karaoke
550693,Moving On 80's
440681,Highway To Hell
14473001,LL Kids Chansons Pour Enfants
115711,Super Party 80
165239017,Cast – Disneyland Paris
55205642,Rap Tsunami
286091,Compilation Les Années 50 : la légende américaine
5694316,80's Masters
70373,Lapin Câlin
4183196,La Chorale du Père Noël
7633570,Billboard Masters
1707083,Ball So Hard (Wanna Find Me Cray)
1399015,Compilation Années 80
108175062,Marie S'Infiltre
1664177,Ameritz Tribute Standards
651050,Techno Dance Special Tuning
148320,Génération Reggaeton
7963166,Soundtrack Wonder Band
1653463,The Gym All-Stars
98593472,Les Meilleurs Hits Dance
1213033,90s Maniacs
9947866,L'Essentiel De La Chanson Française
2995351,Don't Listen to a Word I Say
5415946,I Don't Care Anymore
617563,D.J. Rock 90's
1373613,The Summer Hits Band
14531957,Tubes français 80
5990962,Les tubes du mondial de foot
5164628,Acoustic Guitar Songs
1635614,Artistes variés
1617114,The Love Allstars
9777878,Hit The Button Karaoke
9844162,Hip Hop Instrumenatls
887857,Top 40 Hits
94005,Karaoke - Ameritz
84877952,MSK Music
50866602,Chansons Pour Enfants Bébé TaTaTa
65783782,Tropical Jazz Trio
1692764,Film & TV Masters
12943333,Fan des années 2000
1457955,Succès Des Années 60
1186365,French Dinner Music Collective
7465602,Détente et Relaxation
4608039,Hit Crew Masters
53759312,Music Falcon
1214462,Relaxation
1234063,R n B Allstars
7395062,Dance Hits 2015
352084,2010s Karaoke Band
4345519,90s Allstars
5048547,Playlist DJs
1572747,Pop Hits
9770350,Acoustic Covers
1416652,SEVEN NATION ARMY.
5404994,Sing2Piano
303526,Modern Rock Players
9083896,Workout Motivation
148447882,lofimind
79275,Art Blakey's Jazz Messengers
157739,Various
7117115,Ghost of Christmas
165816,NYC Jazz Quartett
10309324,Lo Mejor del Rap y del Hip Hop
4756106,The Karaoke Universe
150981412,One Compilation
5588274,Années 80
15290417,Chansons Instrumentales Pour Enfants
5364345,Turnaround Karaoke Crew
1653498,TV Sounds Unlimited
55153,Génération Latina
12928075,High School Music
5517933,Dance Hits 2014
12958817,Música Clásica Para Bebés
55577092,Rap Attack
1224661,Chansons Enfantines Et De Noël
4487087,Les bébés dormeurs
63514192,CelliPiano
84953342,Mes p'tits classiques
201824887,Leck
116819,Various Artists - The Beach Boys Tribute
9170110,Instrumental Trap Beats Gang
107756152,Buddha-Bar
134498892,Dj Tik Tok Mix
252219,Christmas Music
1648156,Les Génériques De Notre Enfance
4072711,Soundtrack of Your Life
11011244,Top des yéyés
11991074,Musique de mariage
11641995,JT Music
303636,Génération Idoles
386897,Dr.Dre
74464352,Hip Hop Instrumental Daemon
81703832,Carbon Fiber Music
51827992,8D Audio
55037582,Rap Beats Instrumental
53438902,Halloween Horreur
9219384,Rain Sleep
75272022,Yoga Shala
7179300,Les tubes du nouvel an
4586996,Karaoke Allstars
55630772,Rap Flows
3836751,Top 40 Pop Hits
74464362,Gangsta Rap Crew
11156548,Jetlag Music
1398426,Agrupamento Musical Diapasão
2648811,Ameritz - Tribute
5529115,Acoustic Chill Out
4557772,Ameritz - Tributes
11673765,2017 DJ Mo Fleeks
503753,ProTracks (Karaoke)
303641,Les Tubes Du Grenier
52015642,Relaxation Bébé Prime
93745,The Piano Maestros
1398800,Chansons de Noel Academie
1398800,Chansons de Noel Academie
148346,Chants De Marins
4784030,Karaoke Pro
1550198,dieserBuddha
11675749,Les Principales Sons de Relaxation
5487326,M
148970,Les 12 Salopards
6696231,Meditation Guru
1416087,Les petits choeurs de Noël
10491513,Triste piano musique oasis
9712802,Tantrisme Amour
342948,Workout Allstars
376482,Off The Record Karaoke
870610,Chansons d'Amour
98391352,Musique Pour Faire du Sport Entraînement
5345999,Ameritz Top Tributes
4293691,Douce Nuit
55052052,Gangster Rap Beats
95689482,Famille Musulmane
1398435,Karaoke Charts
11389836,Nеизвестный Исполнитель
4399840,Ameritz Digital Karaoke
49600702,Comptines De Guitares
798648,The Karaoke Crew
106486892,Ambiance Calme
14133727,Nursery Rhymes and Kids Songs
69526,August Rush (Motion Picture Soundtrack)
14482951,Hits chansons d'amour
1234001,Rock Masters
424603,YVAN LE BOLLOC'H
382429,Compilation Titres cultes de la Chanson Française
7149687,Chants et chansons de Noël
73062,Royal music Paris
168131,Bossa Nova
8222234,Musique de Piano de Détente
65608372,Groupe Crédit Agricole
801072,ProSound Karaoke Band
4060140,Workout Buddy
7678600,Meilleures B.O de films et séries
6215200,60's 70's 80's 90's Hits
5152704,Lounge Music Café
9593220,CrossFit Junkies
1891161,Party Rock Is in the House Tonight
69955512,Yoga Master
125243982,Techno Music
80245242,SJAY Music
863062,ACCORDEON
192186,Metal Sound
2823241,I Think I Wanna Marry You
11649381,2017 Billboard Masters
168431,Ibiza Lounge Club
1274622,Musique Africaine
5121060,The Dance Music Makers
4484604,Starlite Rock Revival
5645079,2014 Golden Cove
9116840,Le sommeil de bébé
8560942,Horror Music Collection
1214318,Ragtime Music Unlimited
1225006,Chansons Françaises
7836904,Guitare relaxante
713510,hits
53258752,Her Songs
992334,Tik Tok
8580468,The Eric Clapton Tribute
1460986,Body Fitness Workout
63320972,Piano Project
7173470,Mr. Chillout
316136,The Best Of Chill Out Lounge
12288692,Latino Dance Music Academy
7875888,Nu Rock City
2673791,Grease Musical Band
5314984,River flows Twilight Piano
1376694,Musiques Idolées
50223902,2018 HiBeatz Masters
5645075,2014 Chart Mogul
84406212,TikTok Music
12005512,Chansons pour enfants Loulou et Lou
15206681,Compilation Coupe du Monde 2018
365053,The Greatest Hit Squad
9546940,Noel Détente Suite
7139025,Musiques de Noël
9546940,Noel Détente Suite
260248,Do Piano
8800254,New York Jazz Trio
1517882,Chanson Arabe Académie
14493607,100% hits français
9644858,2016 Dynamo Hitz
140522842,100% konpa
4512270,Music Junkie
668479,Jazz Saxophone
69732,Original Soundtrack
118195,Various Artists - Sweet Mother Records
13024267,The Voice Kids - Saison 4
7701308,Bonne Nuit Academie
4900446,Deep House Music
71573462,They Might Be Giants (For Kids)
53003372,Lofi Hip-Hop Beats
87559942,Muslim - مُسلِم
11357190,Chill Out 2017
1957891,Halloween Music
93397322,Ludovica Piano
7061961,Restful Classic
4015397,Maya L'Abeille
4950702,"The Erotic, Sexy, Smooth Jazz, Romantic Saxophone, Love Making Music Band"
1224361,La Collection En Or Des Chansons Françaises
303649,"Striptease, Lap And Pole Dance"
303643,Les Plus Belles Reprises
1398860,Chillout Lounge Summertime Café
1547232,Thematic Pianos
4069220,Café Ibiza Chillout Lounge
10530371,2016 Billboard Masters
1452968,Super Hits
4890273,Musica para Dormir Dream House
303342,The Cocktail Lounge Players
11566097,FanChants: Supporters Olympique
11725471,Zone de Relaxation
7959794,90s Dance Music
112434,Various Artists - The Eagles Tribute
5318710,Les P'tits Loups du Jazz
6198402,Chansons pour enfants
666021,Ameritz Karaoke Band
11655381,Piano para Relaxar
9963118,Music for Reading
12245336,Latin Workout
1511579,We Wish You A Merry Christmas
8533578,White Knight Instrumental
1350991,Horror Music Orchestra
1403580,Carnaval de Rio
7618148,Musique douce pour bébé
1231074,The Eagles Tribute Band
1352340,#1 Hits Now
11674609,Dj Chillout Sensation
5843177,Tele Music
12140362,Tubes des années 80
57597,Modern Jazz Quartet
12809919,Hard EDM Workout
1645218,Irish Pub Music
4345641,Instrumental Heat
119038922,PureFocused
987430,New York Jazz Moods
