scheme,orig,replacement
senscritique,Harsh Noise Wall,
senscritique,Hiplife,
senscritique,J-Rock,
senscritique,K-Rock,
senscritique,Post-Industrial,
senscritique,Swamp Pop,
senscritique,Western Swing,
senscritique,Cantopop,
senscritique,Dark Electro,
senscritique,Electro-Industrial,
senscritique,Goregrind,
senscritique,Gothic Country,
senscritique,Harsh Noise,
senscritique,Reggae Gospel,
senscritique,Rune Singing,
senscritique,Ambient House,
senscritique,Baltimore Club,
senscritique,Blue-Eyed Soul,
senscritique,Boogie Woogie,
senscritique,Boogie-woogie,
senscritique,Copla,
senscritique,Guajira,
senscritique,Operetta,
senscritique,Oratorio,
senscritique,Rock Opera,
senscritique,Balearic,
senscritique,Baroque Pop,
senscritique,Depressive Black Metal,
senscritique,Drill,
senscritique,Favela Funk,
senscritique,Footwork,
senscritique,Gagaku,
senscritique,Hillbilly,
senscritique,Jangle Pop,
senscritique,Japanese Music,
senscritique,Kaseko,
senscritique,Korean Court Music,
senscritique,Lao Music,
senscritique,Mandopop,
senscritique,Movie Effects,
senscritique,Mugham,
senscritique,Noisecore,
senscritique,Pipe & Drum,
senscritique,Plunderphonics,
senscritique,Psychedelic Soul,
senscritique,Sea Shanties,
senscritique,Technical,
senscritique,Twist,
senscritique,Volksmusik,
senscritique,Andean Music,
senscritique,Appalachian Music,
senscritique,Beatbox,
senscritique,Choral,
senscritique,Conjunto,
senscritique,Erotic,
senscritique,French House,
senscritique,Halftime,
senscritique,Hawaiian,
senscritique,Horror Rock,
senscritique,Hyperpop,
senscritique,Jersey Club,
senscritique,Junkanoo,
senscritique,Light Music,
senscritique,Mouth Music,
senscritique,Nerdcore Techno,
senscritique,Népzene,
senscritique,Plena,
senscritique,Post-Grunge,
senscritique,Sermon,
senscritique,Son Montuno,
senscritique,Sonero,
senscritique,Synth Punk,
senscritique,Bakersfield Sound,
senscritique,Ballroom,
senscritique,Bomba,
senscritique,Cambodian Classical,
senscritique,Candombe,
senscritique,Cantorial,
senscritique,Dark Cabaret,
senscritique,Donk,
senscritique,Freak Folk,
senscritique,Freetekno,
senscritique,Hard Beat,
senscritique,Jibaro,
senscritique,Klasik,
senscritique,Latin Pop,
senscritique,Lowercase,
senscritique,Memphis Blues,
senscritique,NDW,
senscritique,Nhạc Vàng,
senscritique,Organ,
senscritique,Phonk,
senscritique,Public Service Announcement,
senscritique,Qawwali,
senscritique,Rapso,
senscritique,Russian Pop,
senscritique,Sound Poetry,
senscritique,Sunshine Pop,
senscritique,Tamil Film Music,
senscritique,UK Street Soul,
senscritique,Yemenite Jewish,
senscritique,Yé-Yé,
senscritique,Zarzuela,
